week,skipped,leg1_match,leg1_pick,leg1_odds,leg1_actual,leg1_correct,leg1_confidence,leg1_why,leg2_match,leg2_pick,leg2_odds,leg2_actual,leg2_correct,leg2_confidence,leg2_why,accum_legs,accum_combo_odds,accum_won,draw_match,draw_odds,draw_actual,draw_correct,draw_conf,draw_why,leg3_match,leg3_pick,leg3_odds,leg3_actual,leg3_correct,leg3_confidence,leg3_why
2020-12-14/2020-12-20,False,Inter vs Spezia,Home Win,1.25,H,True,21.0,"Pinnacle gives home 78% win prob | dominant form gap: 15pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 3pts — best config (90%+ historic) | attacking mismatch: home scores 2.8/game, opp concedes 2.0/game | venue form gap: +5 (home-at-home vs away-at-away) | home on 5-game win streak",Genoa vs Milan,Away Win,1.43,D,False,13.1,Pinnacle gives away 68% win prob | dominant away form gap: 11pts vs 1pts in last 5 (historic 87%) | away attack 2.2/game vs leaky home defence 2.0 conceded/game | venue form gap: -15 (home-at-home vs away-at-away),2,1.79,False,Levante vs Sociedad,3.4,H,False,13.9,"Pinnacle draw 29% | gap=+0pts | home DR 50%, away DR 30%",,,,,,,
2021-02-15/2021-02-21,False,Barcelona vs Cadiz,Home Win,1.17,D,False,30.0,"Pinnacle gives home 83% win prob | dominant form gap: 15pts vs 1pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 1pts — best config (90%+ historic) | attacking mismatch: home scores 3.2/game, opp concedes 3.4/game | venue form gap: +10 (home-at-home vs away-at-away) | home on 7-game win streak | away on 4-game losing streak",Bayern Munich vs Bielefeld,Home Win,1.17,D,False,19.4,"Pinnacle gives home 83% win prob | clear form advantage: 15pts vs 7pts in last 5 | attacking mismatch: home scores 2.4/game, opp concedes 1.6/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 5-game win streak | away on 2-game losing streak",3,2.2,False,Elche vs Eibar,3.31,H,False,12.5,"Pinnacle draw 30% | gap=+0pts | home DR 40%, away DR 30%",Valladolid vs Real Madrid,Away Win,1.61,A,True,17.4,Pinnacle gives away 61% win prob | dominant away form gap: 12pts vs 3pts in last 5 (historic 87%) | away attack 2.2/game vs leaky home defence 1.8 conceded/game | venue form gap: -7 (home-at-home vs away-at-away) | away on 3-game win streak
2021-03-01/2021-03-07,False,Parma vs Inter,Away Win,1.3,A,True,21.7,Pinnacle gives away 75% win prob | dominant away form gap: 15pts vs 2pts in last 5 (historic 87%) | away attack 3.0/game vs leaky home defence 2.2 conceded/game | venue form gap: -7 (home-at-home vs away-at-away) | away on 5-game win streak,Atalanta vs Crotone,Home Win,1.19,H,True,18.6,"Pinnacle gives home 82% win prob | dominant form gap: 10pts vs 0pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.2/game, opp concedes 2.8/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 3-game win streak | away on 6-game losing streak",2,1.55,True,Cadiz vs Eibar,3.28,H,False,13.1,"Pinnacle draw 30% | gap=-1pts | home DR 40%, away DR 40%",,,,,,,
2021-04-05/2021-04-11,False,Inter vs Cagliari,Home Win,1.26,H,True,15.9,Pinnacle gives home 77% win prob | dominant form gap: 15pts vs 4pts in last 5 (historic 87% accuracy) | venue form gap: +11 (home-at-home vs away-at-away) | home on 10-game win streak | away on 3-game losing streak,Barcelona vs Valladolid,Home Win,1.13,H,True,14.6,Pinnacle gives home 86% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | venue form gap: +9 (home-at-home vs away-at-away) | home on 5-game win streak,3,2.14,False,Sociedad vs Ath Bilbao,3.22,D,True,13.4,"Pinnacle draw 30% | gap=+1pts | home DR 30%, away DR 50%",Bayern Munich vs Union Berlin,Home Win,1.5,D,False,13.3,"Pinnacle gives home 65% win prob | dominant form gap: 15pts vs 6pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 3.4/game, opp concedes 1.6/game | venue form gap: +9 (home-at-home vs away-at-away) | home on 5-game win streak"
2021-05-10/2021-05-16,False,Lazio vs Parma,Home Win,1.22,H,True,16.6,"Pinnacle gives home 79% win prob | dominant form gap: 9pts vs 0pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.8/game, opp concedes 3.4/game | venue form gap: +13 (home-at-home vs away-at-away) | away on 6-game losing streak",Atalanta vs Benevento,Home Win,1.18,H,True,15.9,"Pinnacle gives home 82% win prob | dominant form gap: 11pts vs 1pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.6/game, opp concedes 3.2/game | venue form gap: +10 (home-at-home vs away-at-away) | away on 3-game losing streak",2,1.44,True,Spezia vs Torino,3.03,H,False,12.7,"Pinnacle draw 32% | gap=-2pts | home DR 30%, away DR 30%",,,,,,,
2021-09-20/2021-09-26,False,Greuther Furth vs Bayern Munich,Away Win,1.11,A,True,29.2,Pinnacle gives away 88% win prob | dominant away form gap: 13pts vs 1pts in last 5 (historic 87%) | away attack 4.0/game vs leaky home defence 2.6 conceded/game | venue form gap: -7 (home-at-home vs away-at-away) | away on 4-game win streak | home on 3-game losing streak,Napoli vs Cagliari,Home Win,1.27,H,True,20.7,"Pinnacle gives home 77% win prob | dominant form gap: 15pts vs 2pts in last 5 (historic 87% accuracy) | MISMATCH: home on 15pts, away on 2pts — best config (90%+ historic) | attacking mismatch: home scores 2.8/game, opp concedes 2.6/game | venue form gap: +5 (home-at-home vs away-at-away) | home on 5-game win streak",3,1.76,True,Osasuna vs Betis,3.38,A,False,12.7,"Pinnacle draw 29% | gap=+2pts | home DR 30%, away DR 50%",Milan vs Venezia,Home Win,1.25,H,True,17.8,"Pinnacle gives home 77% win prob | dominant form gap: 13pts vs 3pts in last 5 (historic 87% accuracy) | MISMATCH: home on 13pts, away on 3pts — best config (90%+ historic) | attacking mismatch: home scores 2.0/game, opp concedes 2.0/game | venue form gap: +7 (home-at-home vs away-at-away)"
2021-11-15/2021-11-21,False,Augsburg vs Bayern Munich,Away Win,1.2,H,False,15.1,Pinnacle gives away 81% win prob | away team clearly stronger: 12pts vs 4pts in last 5 | away attack 3.4/game vs leaky home defence 1.8 conceded/game | venue form gap: -6 (home-at-home vs away-at-away) | away on 4-game win streak,Dortmund vs Stuttgart,Home Win,1.37,H,True,14.6,"Pinnacle gives home 71% win prob | clear form advantage: 12pts vs 5pts in last 5 | attacking mismatch: home scores 2.2/game, opp concedes 1.6/game | venue form gap: +12 (home-at-home vs away-at-away) | away on 2-game losing streak",2,1.64,False,Burnley vs Crystal Palace,3.29,D,True,16.4,"Pinnacle draw 30% | gap=-3pts | home DR 50%, away DR 60%",,,,,,,
2021-11-29/2021-12-05,False,Watford vs Man City,Away Win,1.21,A,True,23.6,Pinnacle gives away 80% win prob | dominant away form gap: 12pts vs 3pts in last 5 (historic 87%) | venue form gap: -9 (home-at-home vs away-at-away) | away on 4-game win streak | home on 2-game losing streak,Inter vs Spezia,Home Win,1.19,H,True,13.9,"Pinnacle gives home 81% win prob | dominant form gap: 13pts vs 4pts in last 5 (historic 87% accuracy) | attacking mismatch: home scores 2.0/game, opp concedes 2.0/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 2-game win streak | away on 2-game losing streak",3,2.0,True,Southampton vs Brighton,3.25,D,True,18.2,"Pinnacle draw 30% | gap=+3pts | home DR 30%, away DR 70%",Aston Villa vs Man City,Away Win,1.39,A,True,13.0,Pinnacle gives away 70% win prob | away team clearly stronger: 12pts vs 6pts in last 5 | away attack 2.2/game vs leaky home defence 1.8 conceded/game | venue form gap: -6 (home-at-home vs away-at-away) | away on 3-game win streak
2021-12-06/2021-12-12,False,Fiorentina vs Salernitana,Home Win,1.34,H,True,14.6,"Pinnacle gives home 73% win prob | clear form advantage: 9pts vs 1pts in last 5 | attacking mismatch: home scores 2.2/game, opp concedes 2.0/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 2-game win streak | away on 2-game losing streak",Inter vs Cagliari,Home Win,1.18,H,True,14.0,Pinnacle gives home 82% win prob | dominant form gap: 13pts vs 4pts in last 5 (historic 87% accuracy) | venue form gap: +9 (home-at-home vs away-at-away) | home on 4-game win streak,2,1.58,True,Mallorca vs Celta,3.0,D,True,17.2,"Pinnacle draw 33% | gap=+0pts | home DR 50%, away DR 30%",,,,,,,
2021-12-13/2021-12-19,False,Bayern Munich vs Wolfsburg,Home Win,1.2,H,True,27.6,"Pinnacle gives home 81% win prob | dominant form gap: 12pts vs 1pts in last 5 (historic 87% accuracy) | MISMATCH: home on 12pts, away on 1pts — best config (90%+ historic) | attacking mismatch: home scores 2.4/game, opp concedes 2.6/game | venue form gap: +8 (home-at-home vs away-at-away) | home on 4-game win streak | away on 4-game losing streak",Salernitana vs Inter,Away Win,1.17,A,True,27.5,Pinnacle gives away 83% win prob | dominant away form gap: 15pts vs 1pts in last 5 (historic 87%) | away attack 2.8/game vs leaky home defence 2.2 conceded/game | venue form gap: -7 (home-at-home vs away-at-away) | away on 5-game win streak | home on 3-game losing streak,3,1.66,True,Getafe vs Osasuna,2.95,H,False,24.1,"Pinnacle draw 33% | gap=+3pts | home DR 60%, away DR 50%",Newcastle vs Man City,Away Win,1.18,A,True,18.5,Pinnacle gives away 81% win prob | dominant away form gap: 15pts vs 4pts in last 5 (historic 87%) | away attack 3.0/game vs leaky home defence 2.0 conceded/game | venue form gap: -8 (home-at-home vs away-at-away) | away on 7-game win streak | home on 2-game losing streak
